0.592,0.070,0.411,0.960,0.833,0.770,0.993,0.452,0.343,0.464
0.221,0.920,0.681,0.949,0.911,0.106,0.068,0.850,0.231,0.117
0.934,0.720,0.409,0.115,0.128,0.446,0.981,0.541,0.040,0.686
0.963,0.808,0.247,0.399,0.465,0.087,0.859,0.348,0.383,0.255
0.607,0.045,0.204,0.045,0.145,0.905,0.694,0.064,0.241,0.256
0.972,0.995,0.650,0.218,0.367,0.018,0.139,0.054,0.862,0.558
0.429,0.069,0.114,0.150,0.018,0.616,0.042,0.963,0.770,0.904
0.751,0.544,0.981,0.917,0.685,0.658,0.113,0.151,0.087,0.281
0.571,0.000,0.586,0.044,0.936,0.893,0.229,0.257,0.201,0.050
0.732,0.210,0.581,0.357,0.687,0.348,0.261,0.147,0.570,0.260
